BranchID,FromBus,ToBus,PFrom_MW,QFrom_Mvar,PTo_MW,QTo_Mvar,PLoss_MW,QLoss_Mvar
1,1,2,156.882890532245,-20.4042916842117,-152.585290196043,27.6762497282305,4.29760033620218,7.27195804401876
2,1,5,75.5103818256538,3.85499114282335,-72.7475092330288,2.22935870937668,2.76287259262499,6.08434985220003
3,2,3,73.2375792384863,3.56020295073748,-70.9143099042354,1.60223287367542,2.32326933425095,5.1624358244129
4,2,4,56.1314959394534,-1.55035039835305,-54.4548381073786,3.02068746413106,1.67665783207481,1.47033706577801
5,2,5,41.5162150181032,1.17099785889672,-40.6124616649511,-2.09903396797778,0.903753353152105,-0.928036109081065
6,3,4,-23.2856900957645,4.47311562544675,23.6591350523784,-4.83565250020042,0.37344495661393,-0.362536874753666
7,4,5,-61.1582304445187,15.8236419344404,61.6726500377541,-14.2010045508342,0.514419593235395,1.62263738360621
8,4,7,28.0741759163588,-9.68106571628332,-28.0741759163588,11.3842799421234,-1.06581410364015e-14,1.70321422584012
9,4,9,16.0797575831596,-0.427611182088272,-16.0797575831596,1.73232200652867,3.5527136788005e-15,1.30471082444039
10,5,6,44.0873208602259,12.4706798094358,-44.0873208602259,-8.04951818948345,-7.105427357601e-15,4.42116161995234
11,6,11,7.353276982692,3.56047297109517,-7.29790365914938,-3.44451430555897,0.0553733235426233,0.115958665536197
12,6,12,7.78606701532141,2.50341423702658,-7.7142577711663,-2.35395916626491,0.0718092441551006,0.149455070761669
13,6,13,17.7479768622126,7.21657538864236,-17.5358914670933,-6.79891303910067,0.212085395119235,0.417662349541691
14,7,8,-1.38777878078145e-14,-17.1629705111226,1.38777878078145e-14,17.6234513680824,0,0.460480856959816
15,7,9,28.0741759163589,5.77869056899893,-28.0741759163589,-4.97662186843874,7.105427357601e-15,0.802068700560193
16,9,10,5.22755246952561,4.2191377979386,-5.21467761865352,-4.18493707808034,0.0128748508720848,0.0342007198582586
17,9,14,9.42638102999289,3.61000623827141,-9.3102269386508,-3.36293092384237,0.116154091342091,0.247075314429038
18,10,11,-3.78532238134651,-1.61506292191971,3.79790365914929,1.64451430555872,0.0125812778027838,0.0294513836390107
19,12,13,1.61425777116635,0.753959166264766,-1.60795951284717,-0.748260742071224,0.00629825831917885,0.00569842419354261
20,13,14,5.64385097994031,1.747173781172,-5.58977306134912,-1.63706907615764,0.0540779185911857,0.110104705014361
